min_entailment,max_contradiction,precision,recall,tp,fp,fn
0.5,0.02,1.0,0.7142857142857143,40,0,16
0.5,0.05,1.0,0.7142857142857143,40,0,16
0.5,0.1,1.0,0.7142857142857143,40,0,16
0.5,0.15,1.0,0.7142857142857143,40,0,16
0.5,0.2,1.0,0.7142857142857143,40,0,16
0.5,0.3,1.0,0.7142857142857143,40,0,16
0.5,1.01,1.0,0.7142857142857143,40,0,16
0.51,0.02,1.0,0.7142857142857143,40,0,16
0.51,0.05,1.0,0.7142857142857143,40,0,16
0.51,0.1,1.0,0.7142857142857143,40,0,16
0.51,0.15,1.0,0.7142857142857143,40,0,16
0.51,0.2,1.0,0.7142857142857143,40,0,16
0.51,0.3,1.0,0.7142857142857143,40,0,16
0.51,1.01,1.0,0.7142857142857143,40,0,16
0.52,0.02,1.0,0.7142857142857143,40,0,16
0.52,0.05,1.0,0.7142857142857143,40,0,16
0.52,0.1,1.0,0.7142857142857143,40,0,16
0.52,0.15,1.0,0.7142857142857143,40,0,16
0.52,0.2,1.0,0.7142857142857143,40,0,16
0.52,0.3,1.0,0.7142857142857143,40,0,16
0.52,1.01,1.0,0.7142857142857143,40,0,16
0.53,0.02,1.0,0.7142857142857143,40,0,16
0.53,0.05,1.0,0.7142857142857143,40,0,16
0.53,0.1,1.0,0.7142857142857143,40,0,16
0.53,0.15,1.0,0.7142857142857143,40,0,16
0.53,0.2,1.0,0.7142857142857143,40,0,16
0.53,0.3,1.0,0.7142857142857143,40,0,16
0.53,1.01,1.0,0.7142857142857143,40,0,16
0.54,0.02,1.0,0.7142857142857143,40,0,16
0.54,0.05,1.0,0.7142857142857143,40,0,16
0.54,0.1,1.0,0.7142857142857143,40,0,16
0.54,0.15,1.0,0.7142857142857143,40,0,16
0.54,0.2,1.0,0.7142857142857143,40,0,16
0.54,0.3,1.0,0.7142857142857143,40,0,16
0.54,1.01,1.0,0.7142857142857143,40,0,16
0.55,0.02,1.0,0.7142857142857143,40,0,16
0.55,0.05,1.0,0.7142857142857143,40,0,16
0.55,0.1,1.0,0.7142857142857143,40,0,16
0.55,0.15,1.0,0.7142857142857143,40,0,16
0.55,0.2,1.0,0.7142857142857143,40,0,16
0.55,0.3,1.0,0.7142857142857143,40,0,16
0.55,1.01,1.0,0.7142857142857143,40,0,16
